Id. de la fila,Id. del pedido,Fecha de pedido,Fecha del envío,Método de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Ventas,Cantidad
4538,US-2021-161284,1/01/2021,1/01/2021,Mismo día,91328983,Vanesa Olmos,Cliente,Tegucigalpa,Francisco Morazán,Honduras,Centro,MAT-PA-10000591,Material de oficina,Papel,"Xerox Resma, Multicolor",444,4
5257,MX-2021-105046,2/01/2021,1/01/2021,Urgente,20638872,Amadeo Villareal,Cliente,Managua,Managua,Nicaragua,Centro,MOB-MO-10004363,Mobiliario,Mobiliario,"Advantus Bombilla, Negro",401.4,3
5255,MX-2021-105046,2/01/2021,1/01/2021,Urgente,20638872,Amadeo Villareal,Cliente,Managua,Managua,Nicaragua,Centro,MAT-PA-10004503,Material de oficina,Papel,"Eaton Recordadores, Multicolor",505,5
5256,MX-2021-105046,2/01/2021,1/01/2021,Urgente,20638872,Amadeo Villareal,Cliente,Managua,Managua,Nicaragua,Centro,TEC-CO-10001375,Tecnología,Copiadoras,"HP Fax inalámbrico, 2",11982.986,5
5109,MX-2021-153451,6/01/2021,1/01/2021,Estándar,83196467,Salma Soria,Cliente,Managua,Managua,Nicaragua,Centro,MAT-SO-10002541,Material de oficina,Sobres,"Cameo Cierre adhesivo, Rojo",818,5
1706,MX-2021-145429,6/01/2021,4/01/2021,Rápido,47927180,Lara Porras,Empresa,Santa Catarina,Nuevo León,México,Norte,MAT-AR-10002236,Material de oficina,Arte,"Sanford Libreta de dibujo, Tamaños variados",1297.6,4
4426,MX-2021-131681,7/01/2021,3/01/2021,Estándar,97585476,Pablo Esparza,Cliente,Serra,Espíritu Santo,Brasil,Sur,TEC-AC-10001543,Tecnología,Accesorios,"Belkin Ratón, Negro",545.6,2
4425,MX-2021-131681,7/01/2021,3/01/2021,Estándar,97585476,Pablo Esparza,Cliente,Serra,Espíritu Santo,Brasil,Sur,MAT-AR-10000761,Material de oficina,Arte,"Boston Bolígrafos, Metal",309.6,3
1912,MX-2021-166660,7/01/2021,7/01/2021,Mismo día,81735532,Bautista Camarillo,Pequeña empresa,Irapuato,Guanajuato,México,Norte,MAT-SU-10004266,Material de oficina,Suministros,"Stiletto Cizallas, Acero",316.6,1
5228,MX-2021-164266,9/01/2021,3/01/2021,Estándar,89494186,Asís Aguilera,Empresa,Soyapango,San Salvador,El Salvador,Centro,MAT-CA-10002107,Material de oficina,Carpetas,"Wilson Jones Cubierta de carpeta, Reciclado",539,7
